Review,Rating
"Everything was great.,

An incredibly cosy place really close to the European Quarter (where cosy accommodation is very hard to get). Everything has a friendly, colourful and human touch to it while it still remains trendy and clean. The owners are extremely lovely and nothing's ever a problem for them. The room had everything I could possibly need and was very peaceful. The breakfast was always a highlight of my day – beautifully presented, with so many great healthy and not-so-healthy options, combining organic and locally produced goodies with Belgian classics. This was my second time in B&B Place Jourdan and I hope to come back again.",positive
"-,

This b&b is something very Special. The house is situated right in the middle of huge Garden. The rooms are very big and cosy. I for example hat a bedroom and a seoerate living with a big desk for work. Great. Liesbeth the owner is very frindly and carring, she was still awake, eventhough I arrived at 10:30 pm. The breakfast is perfekt, fresh orange juice , fresh eggs and excelent Quality of Food. Ist really worth the Money Thank you Liesbeth",positive
"Breakfast was a bit limited, not included in the not very cheap price of the room. Water took very long to heat up in the shower, maybe because room was on the top floor but this was rather wasteful.,

Helpful and responsive staff. Room was quite a big apartment. Nice private parking despite being inbthe middle of the city.",positive
"Madam Christine was very helpful. Helped us to bring our car to the parking place and to bring our luggage. She explained everything about the apartment and the city itself. With her hospitality and kindness we felt like at home. The apartment is located in the very centrer of the city, it is big enough to accommodate 4 people (two adults and two kids). Very specious bedroom. Apartment very clean. The kitchen was fully equipped. We spend there very pleasant time.",positive
"Location, facilities and everything was good. Johan and his co-host were nice and excellent at communication.",positive
"The property is spacious, clean, fully equipped and closed to public transport to the inner town.",positive
"Pillows need review.,

Great place which i always consider as top choice, great breakfast and fantastic staff",positive
"Nothing,

Very easy check-in (nobody at reception, but instructions were given via email and were very clear). The room was very clean, beautiful bathroom with rituals soap. The new windows blocked out the noise of  the trains. 
Thanks to the foodcorner we had a very nice dinner (Lasagna and ice cream), and breakfast in the room was also very good (large choice available).
Would love to go again :)",positive
"Paying for everything up front in cash was a little inconvenient,  would have preferred card payment option,

Very big room,  comfortable bed, Belgian beer on arrival.",positive
"Best of everything in the center of the town, short stroll to the beach and shopping around the corner.
Staff is professional and very friendly.
Best breakfast and nice dining.",positive
"Absolutely nothing,

Even though the program fell down the whole day, the desk manager did everything to have a fluid check in check out for all the visitors waiting. Great person!",positive
"the lighting in room - I would prefer more / stronger,

amazingly comfortable and big bedpleasant atmosphere at breakfast thanks to the room and music, the offer was of everything and there were instructions at wall (e.g. to boil the egg) owners ready to help really close to Place Jourdan",positive
Liesbeth was a most amazing host. Lovely person and incredible premises she has on offer. Truly enjoyed the stay.,positive
"The entrance to the hotel's private parking is very narrow, even for a small car. After having been on the road for 5 hours due to a massive traffic jam on the highways around Lille, I was tired, and I sustained some damage to my car on the side of the entrance as I was driving into the parking terrein. Examination of the entrance shows many traces of where other cars have scraped against the sides of the entrance, so it is evident that other motorists have sustained damage to their cars on this entrance. Parking on the street in front of the hotel is possible though, but it is not free, and as it is a fairly busy street, there is thus no assurance that a parked car will not be damaged there either.,

The restaurant served good food, at reasonable prices. The staff were friendly and did their best to accommodate, in spite of the language barrier. However, there were a couple of staff members who did speak reasonable enough English to facilitate communication. Room was clean and comfortable.",positive
"Very central, and easy parking location.
Very helpful , easy check in. Recomend if staying at Durbuy
Thanks again",positive
"Sorting out the bin bags was not straight forward. The picture on the booklet is not very clear. Location is 20 mins walk from the city centre.,

Perfect size one-bedroom apartment. Plenty of lights with big french windows (ceiling to floor) which allows the light to brighten up the flat. I wish I asked the host if we could open them to allow some fresh air in.",negative
"Noise level at night. Room was overlooking the street.,

The hotel was located near the tram station and was walking distance to the grand place. Very convenient. 
Room was big and comfortable.",positive
"small cleaning issues, in cupboard you could see someone didnt clean for a while. one small issue, lack of toilet paper( funny, but we received the room with last "" pieces"".. could be nice to have another roll on the side.,

nice place, quiet, with small terrace, was exactly what we needed",positive
"Despite having a fridge and microwave there were no plates or cutlery to use with the microwave! If you stay in the room facing the road beware it can be incredibly noisy. The tram passes right under your window and as the Brico is just round the corner, the delivery entrance is about 6 doors away and so you can imagine the noise you get from delivery lorries at 04.00. Plus of course rubbish collection at 02.00 and all the other deliveries for the shops and restaurants and the rattle and ding ding of the tram until about midnight!! Also, maybe a glitch, but the WiFi didn’t work at all well for my stay.,

The host was lovely. The accommodation is a large room with a high ceiling. Fridge and microwave in the room, with a table to eat at. Comfy bed, lots of windows and a nice sofa with cushions to lounge on. Nicely decorated and very clean.",negative
"the international standard of everything, the lobby like a passage to nowhere, the bedroom so grey, the invisibility of the sea so close, and the too high price.,

the little swimming pool",negative
"You could hear morning noise from the street and from the room above. Pillows way to hard but in their defense I didn't ask for different ones so not sure if they had better ones. ,

Amazing location right in the center of Ghent. Restaurants bars and shopping less than 5 minutes walk. Tram to get back to train station very close by.",positive
"Although the Etterbeek neighborhood is great, this place is a wee bit too far from the metro stations if you need to get around by public transport. Plus, the host persuaded us not to have breakfast (saving 40€ althogether, though), while other guests could have it.,

My son said that the upstairs apartment – where we were put up – is like a ""den"" but in a good way. We really had our little place, with a kitchen, great sitting spaces, and even a selection of DVDs. The good thing about the location is that there are some great cafés, restaurants close by, as well as a Sunday market on Place Jourdan. (We chose the location for Autoworld in Parc Cinquantenaire.)",positive
"No complaints! I’ll stay here again !,

Felt as if I was back home. Never seen such empathetic service in any hotel. God bless the family running this place.....may it get more & more visitors",positive
"The bed and pillows,

Pleasantly surprised as the surrounding area is very working class and drab.",positive
"Amazing location-literally right in the centre and overlooking lovely back streets of the lovely Durbuy. 
Christine was super helpful and kind.",positive
"Unfortunately style impacted on practical use such as bathroom and no windows. Communication was not proactive by host.,

Great location. Large apartment. Very stylish.",positive
"nothing worth writing about - not much to critique,

quiet room, satisfying breakfast with a reasonable choice of food and drinks, excellent wifi, good coffee making facilities in room",positive
Covid-preparedness was very good. Frozen meals for dinner is a very good idea when restaurants are getting closed.,positive
"Room on the top floor, there was no Wi-Fi, the mattress is very soft, the body collapses like a hammock. Noise outside the window and mosquitoes at night. Couldn't sleep.  The room has no refrigerator or at least a kettle.,

The only thing is the reception of a friendly young girl who helped with the search for some information.",negative
"Pool could be better cleaned,

Excellent service, friendly receptionist, exceptionally good variety breakfast, close to everything in city centre, i.e., shopping, beach, restaurants, pleasant pool",positive
"The hotel was very child friendly. Staff gave our kids little toys and they were very happy.  The room was cozy and we all liked it. Breakfast was very good, everyone ate something they like. While we are eating kids could play at the playing area. Thanks for everything",positive
"Personable, helpful hosts, easy check-in, great breakfast, newer plumbing fixtures (modern and easy to use), cool decor, great selection of books on Brussels to browse, quiet street near the Cinquantenaire Park and EU area.",positive
Super cosy and clean!,positive
"We knew there was no breakfast, but they could have made a little effort providing a kettle and two cups for some instant coffee in the morning. They changed the sheets only once in the week. Towels were changed every day, but some were really old and thin. Plastic glasses were provided only twice. The shower floor was terribly slippery and slopy. Pillows were awful, my neck is still complaining. And last but not least, we had to pay as we arrived, in advance, the very first evening.,

The wifi conexión and the air-co.",negative
It is an old house but the location is excellent. Perfect for a short stay.,positive
"Very nice and modern flat with all comforts. Open space but with the right privacy between the rooms, it's ideal for friends or couple.  Very clean. The position is convenient, near the wonderful Horta's museum and houses. Well connected with the city centre. In few words really comfortable!",positive
It was my boyfriend’s birthday and we were given a complimentary room upgrade .,positive
"I really appreciated the different dinner alternatives once got to the hotel. It was not supposed to be but in this covid time, they set up a small food court.",positive
"As a frequent traveler, it was by far the worst experience I’ve ever had with booking.com. The room was cold in late December and although my booking included heater, the owner refused to turn it on and told me I could change my reservation if I was cold! She also tried to stopped me to use the bathroom on my checkout saying that she had already cleaned it! Apart from the disrespectful behavior of the owner, the shared toilet was so dirty. The WiFi was poor and not work at second floor. I had to walk many steps down (these steps were also another issue!) to get some poor signal. It is not value for money at all. I honestly believe such an awful property should never be listed in booking.com.,

The room was clean and beds were comfortable",negative
"It wasn’t clean, there was mold, rust and generally in need of repairs & deep-cleaning.",negative
"Only small complaint was the pillows on the bed, one very flat, one very high, just needed something more in the middle ground.,

Location is perfect for everything you want to see and do in Ghent, the staff were brilliant as well.",positive
"Less strairs!,

3rd or 4th visit, just right for my purposes.",positive
"Air conditioner varely working. Noisy Place. Could not sleep very well. Many details in the room. The lady in the reception outstandings. She makes de difference. ,

The hotel staff",negative
"Friendly hosts, comfortable stay, amazing location",positive
The toilet door was just a thin glass without any isolation. My boyfriend and I could not use the toilet because of that reason (hope you can understand what I mean). We had to use a toilet outside of the hotel.,negative
"Super friendly hotel, very good breakfast, nice and clean rooms, amazing bathroom. Would definitely recommend!",positive
"The bath tab was super dirty. SO I CLEANED UP!!,

I liked the landscape at night. Can oversee the atomium far away.",negative
"Hotel,

Breakfast",negative
"Beds were a little hard and the pull out sofa bed was not comfortable at all. However, the amenities in the room were adequate and fine for a short stay.,

Perfect location in the heart of Ghent. Food options abundant immediately surrounding to make up for a rather pricey breakfast option. Super fun lobby with a foosball table and interactive video gaming system.",positive
"It is perfectly located, near to European institutions. The owners are really nice, friendly and helpful. Breakfast is amazing, better than 5 stars hotels. The room in well equipped, new and clean and the bathroom has a lot of space, big shower. Definitively the best option in Brussels.",positive
"The entrance to the parking is extremely narrow; I had some problems to avoid scratching the car. Personally I needed some guidance to go straight. So, not suitable for big cars.,

Normal size room, clean, quiet (as on the back of the property). Eager to help receptionist, she explained calmly all the issues. The access to the room and main entrance is done with a code, should keep it with you if not memorize it.",negative
"n/a,

Fantastic stay at this hotel and even got a lovely upgrade that we didn't expect too! Wish every city had a hotel as good this one.",positive
"We knew that before, so it is not really a dislike but the property is relatively far away from the city center. If you want to walk it will take about 30 minutes.,

Very friendly staff, good parking possibilities, very clean rooms. And as a little bonus surprise the mini bar was free :)",positive
"Unfortunately parking was only free from 6pm to 9am. After that only 2h parking so if you want to spend the day in the city you need to find another parking space which is quite expensive in Brussels. ,

Very friendly owner, spacious and beautifully decorated room, bathroom was very clean. Free coffee and tea, very good WiFi.",positive
"Bathroom equipment of poor quality,  reception personnel has a  lack of qualification,

Breakfast, comfort in the room,quiet place",positive
"The breakfast was expensive for a buffet breakfast, but as it was New Year there were limited alternatives.",positive
"The eindow curtins did not block the light. For people that do not sleep with ligh, is dificult,

Excelent. The place is perfet, the size of the rrom ans bathroom, the localisation and breakfast are great!!",positive
"bathroom ... took about 5 minutes before to get hot water in the shower... if we can call this hot.. oh, and be careful with the bed... you can hurt yourself by bumping your legs into the bed structure which sticks out of the mattress. I have a big bruise on my tibia today -_-',

Good breakfast, staff very nice, outside good looking, dedicated parking lot secured via dedicated code.Even if a bit far away from Mons, this hotel gives you an easy access to the Mons city, which is very saturated in term of traffic. This is a very good point.",negative
Staff welcoming and helpful the facility himself and the location,positive
"The staff were exceptional, making our stay eas and comfortable.",positive
"but there was not a table, where I could sit with a PC and it was cold,

The room has a nice view to the Atomium,",negative
"I had trouble sleeping because of noises on the street,

good location, spacious room, good beds, good breakfast, friendly personnel",positive
"Price for breakfast ,

Location",positive
"perfect location in center, very helpful owners, comfort",positive
"Staff stayed chatting while I was try to pay for breakfast and leave,

The room was set out nicely with a comfy bed, the location was in an easy to get to area and breakfast was buffet with plenty of options.",positive
"Modern, great staff, Netflix in our suite",positive
"price  is enormous, location near station not that interesting as Dampoort   is nearer the centre and nearer  Holland as well,

friendly staff, nice breakfast",positive
"A great place to stay in. The room has enough space. Shops, dinner or other facilities just around the corner. Walking distance to the park and Gare du Nord.",positive
"Despite the publication and price range this Is 4* is unworthy.
Hotel is completely outdated and in need of renovation.
Upon arrival the room was not cleaned, fingerprints and hairs of the previous hotel guests were abundant, and this during covid period.
The bathroom was completely worn, mold spots in and around the shower and sink, stains on walls and ceilings, taps worn, rusted and completely calcified. Windows hadn't been cleaned for weeks, the handles were literally black with dirt.
The renovation work already carried out looked more like amateurish bricolage than thorough renovation (laminate simply laid over the old fitted carpet, holes in the walls for extra cabling).
When reported to the counter, the friendliness of the staff quickly deteriorated. A cleaning lady was sent on the spot who apparently lacked a special product (= Antical). Unfortunately she was only in possession of a spray with Javel but would certainly report this to the 'Manager'. A good morning from the staff turned out to be no longer an option. However, the hotel apparently has a rather high reputation when it comes to friendliness of the staff.
Despite the multiple positive scores for breakfast, this was also a disappointment.
A very classic and standard breakfast was offered 'corona proof', but if you wanted a glass of cava, each guest had to take the same bottles to pour themselves during covid. Moreover, the waiter on duty didn't speak the Dutch language. The dining room turned out not to be cleaned either, dust and food remains of previous guests were easily spotted.
This is the first time in 20 years that I am writing a review. However, I have never had such a negative experience (not even in countries where the stars are awarded 'smoother').
Any self-respecting 4* hotel would notice these things for themselves and take action here.
Be warned before booking your overpriced room here.",negative
"I think the price was too high for a 3 stars hotel, even though the hotel provides more than a 3 stars service. My room faced the construction sites of the Town Hall, resulting in scarce natural light from the window and some noise from workers starting at 7am. The staff at the reception didn't inform me at all about the spa and the gym which are shown in the pictures and of which I was not aware. I would have liked to know that.,

I spent 3 nights at Novotel during a business trip in Ghent. The hotel was chosen because recommended by my local partner and because of its convenient location in the city centre and close to the university and all amenities, including public transportation from/to the train station. The room was enourmous, clean and confortable. High quality sleep. Nice hotel staff.",positive
"Många trappor,

Everything was super!!",positive
"Upon arrival at the room after check-in, the air conditioning did not work, the wifi either and the small existing refrigerator did not either. I mentioned it to the reception but they could not give any solution, I had to use a personal network cable to connect to a wall socket and thus be able to have internet. Towards an unbearable heat and with the air conditioning not working could not be in the room, for which I had to open the balcony doors throughout the night, resulting in the entry of mosquitoes that ""fried"" me to bites all the night. I do not find it acceptable, that having booked a suite, upon arrival there will not work main services such as air conditioning and wifi. These things should be checked before offering the room in web portals. The direction of the hotel the first night remained totally passive, and did not react until the next day. To my understanding too late. Any excuse then does not solve anything.,

Friendly staff, but not too resolutive facing incidents. The existing restaurant has a varied menu of elaborate dishes. Existence of a park in the facilities, although yes, to get to it has to go through a door and a fairly narrow corridor, be careful with it.",negative
"Very well looked after, last year we booked this hotel and unfortunately last minute couldn’t make it and the free cancellation had passed, we were promised an upgrade for free and they did not disappoint. Very good value for money and excellent location",positive
"Everything was excellent, thank you everybody, I will definitivelly come back",positive
"Beautiful and very spatious room, very friendly owners",positive
"The hotel has been recently renovated but in our room there were many things that were not in top shape - bathroom door could not be closed and handle was falling off. The mattress was not comfortable it was very thin. The hotel is located in a pedestrian zone so you cannot access it directly by car which makes it difficult to unload and load your car, especially challenging when you have a small child with you.,

Great location very close to the beach and shopping streets. Plenty of bars and restaurants nearby as well.Very friendly and attentive staff. The breakfast was good many things to choose from.",negative
"Carpark was tiny. Spaces were very small and entrance to get in was very tight. If you have a large car it's hard work. Quite difficult to find too, had to drive down the high street to get to the carpark. Not ideal if you're driving to the hotel and need parking. Bar is quite expensive too.,

Lovely hotel, lovely people. Right in the middle of things.",positive
"The only small thing is that is a 3rd floor with no lift, something common in these buildings.,

Super helpful owner, very clean, comfy bed and great location.",positive
"The Receptionist was friendly and helpful and spoke English. Room was small but very modern, cozy and clean. Breakfast fad a great variety of items to choose from and good coffee. Private parking was much appreciated. We would stay again and gladly recommend this hotel.",positive
"Colour scheme was very dull; brown and dark brown with grey. A few colourful cushions or bedspread would have cheered the place up.,

Close to metro and centre of city. The room was quite large and had a superb bathroom with large bath and separate shower. Big desk. Large comfortable bed.",positive
"-,

Really friendly and helpful staff; super excellent breakfast in a lovely setting (home made-made jams, granola, yoghurt, etc.) with good coffee brewed by the cup; everything I needed/wanted in my room; easy walk from train station. I loved this place.",positive
"Right away when manager heard that i'm coming 11pm. He said it charged 30€ extra if i come later than 8 o'clock. There were no mentions on a booking page that they have this kind of arrangement. So i change my train tickets and trying to get there before eight (didn't want to pay 40%extra). My bus from Holland was over hour late,so i missed about 20 minutes from my check-in time.
Which i heard first time six hours earlier, still they demand extra payment.
Wifi didn't work on upstairs, work poorly on down floors.
They didn't even gave my small change back to me when i paid,

Location was only good thing",negative
Alles was in orde.,positive
